SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD01.Tc.LFLF.1.19,stool,,Male,LFLF,1/28/24,9:30,Taconic,CDD01,19,T,F,22.1,19.7,-10.85972851,90.2,,,,,,,,,
CDD01.Tc.LFLF.2.19,stool,,Male,LFLF,1/28/24,,Taconic,CDD01,19,swab,F,24.8,24.8,0,89.5,,,,,,,,,
CDD01.Tc.LFLF.3.19,stool,,Male,LFLF,1/28/24,9:30,Taconic,CDD01,19,T,F,25.5,24.3,-4.705882353,91.8,,,,,,,,,
CDD01.CR.Chow.1.19,stool,,Male,Chow,1/28/24,9:30,CharlesRiver,CDD01,19,T,F,23.6,25.9,9.745762712,93.1,,,,,,,,,
CDD01.CR.Chow.2.19,stool,,Male,Chow,1/28/24,9:30,CharlesRiver,CDD01,19,T,F,21.8,20.6,-5.504587156,90,,,,,,,,,
CDD01.CR.LFLF.1.19,stool,,Male,LFLF,1/28/24,9:30,CharlesRiver,CDD01,19,T,F,23.6,22.2,-5.93220339,87.7,,,,,,,,,
CDD01.CR.LFLF.2.19,stool,,Male,LFLF,1/28/24,9:30,CharlesRiver,CDD01,19,T,F,22.6,22.4,-0.884955752,88.8,,,,,,,,,
CDD01.CR.LFLF.3.19,stool,,Male,LFLF,1/28/24,9:30,CharlesRiver,CDD01,19,T,F,23.3,24.2,3.862660944,89.4,,,,,,,,,
CDD01.Tc.Chow.1.20,stool,,Male,Chow,1/29/24,9:30,Taconic,CDD01,20,T,F,25.4,26,2.362204724,89.4,,,,,,,,,
CDD01.Tc.Chow.2.20,stool,,Male,Chow,1/29/24,9:30,Taconic,CDD01,20,T,F,22.3,22.6,1.34529148,89.4,,,,,,,,,
CDD01.Tc.LFLF.1.20,stool,,Male,LFLF,1/29/24,16:30,Taconic,CDD01,20,swab,F,22.1,19.6,-11.31221719,89.4,,,,,,,,,
CDD01.Tc.LFLF.2.20,stool,,Male,LFLF,1/29/24,16:30,Taconic,CDD01,20,swab,F,24.8,22.1,-10.88709677,90.6,,,,,,,,,
CDD01.Tc.LFLF.3.20,stool,,Male,LFLF,1/29/24,16:30,Taconic,CDD01,20,swab,F,25.5,22.6,-11.37254902,88.9,,,,,,,,,
CDD01.CR.Chow.1.20,stool,,Male,Chow,1/29/24,16:30,CharlesRiver,CDD01,20,swab,F,23.6,25.6,8.474576271,89.4,,,,,,,,,
CDD01.CR.Chow.2.20,stool,,Male,Chow,1/29/24,9:30,CharlesRiver,CDD01,20,T,F,21.8,21,-3.669724771,89,,,,,,,,,
CDD01.CR.LFLF.1.20,stool,,Male,LFLF,1/29/24,9:30,CharlesRiver,CDD01,20,swab,F,23.6,19.7,-16.52542373,87.1,,,,,,,,,
CDD01.CR.LFLF.2.20,stool,,Male,LFLF,1/29/24,16:30,CharlesRiver,CDD01,20,swab,F,22.6,18.9,-16.37168142,87.1,,,,,,,,,
CDD01.CR.LFLF.3.20,stool,,Male,LFLF,1/29/24,9:30,CharlesRiver,CDD01,20,T,F,23.3,20.8,-10.72961373,88.2,,,,,,,,,
CDD01.Tc.Chow.1.21,stool,,Male,Chow,1/30/24,10:30,Taconic,CDD01,21,T,F,25.4,26.3,3.543307087,91,,,,,,,,,
CDD01.Tc.Chow.2.21,stool,,Male,Chow,1/30/24,10:30,Taconic,CDD01,21,T,F,22.3,22.5,0.896860987,88.5,,,,,,,,,
CDD01.Tc.LFLF.1.21,stool,,Male,LFLF,1/30/24,10:30,Taconic,CDD01,21,swab,T,22.1,18.5,-16.28959276,90.7,,,,,,,,,
CDD01.Tc.LFLF.2.21,stool,,Male,LFLF,1/30/24,10:30,Taconic,CDD01,21,swab,T,24.8,20.6,-16.93548387,89.2,,,,,,,,,
CDD01.Tc.LFLF.3.21,stool,,Male,LFLF,1/30/24,10:30,Taconic,CDD01,21,swab,F,25.5,22.2,-12.94117647,88.7,,,,,,,,,
CDD01.CR.Chow.1.21,stool,,Male,Chow,1/30/24,10:30,CharlesRiver,CDD01,21,T,F,23.6,26.2,11.01694915,88.7,,,,,,,,,
CDD01.CR.Chow.2.21,stool,,Male,Chow,1/30/24,10:30,CharlesRiver,CDD01,21,T,F,21.8,21.1,-3.211009174,88.2,,,,,,,,,
CDD01.CR.LFLF.1.21,stool,,Male,LFLF,1/30/24,13:00,CharlesRiver,CDD01,21,swab,T,23.6,18.2,-22.88135593,90,,,,,,,,,
CDD01.CR.LFLF.2.21,stool,,Male,LFLF,1/30/24,10:30,CharlesRiver,CDD01,21,T,T,22.6,18,-20.3539823,90.7,,,,,,,,,
CDD01.CR.LFLF.3.21,stool,,Male,LFLF,1/30/24,13:00,CharlesRiver,CDD01,21,T,T,23.3,19.3,-17.16738197,90.3,,,,,,,,,
CDD01.Tc.Chow.1.22,stool,,Male,Chow,1/31/24,9:30,Taconic,CDD01,22,T,F,25.4,26.5,4.330708661,88.3,,,,,,,,,
CDD01.Tc.Chow.2.22,stool,,Male,Chow,1/31/24,9:30,Taconic,CDD01,22,T,F,22.3,22.9,2.69058296,87,,,,,,,,,
CDD01.Tc.LFLF.3.22,stool,,Male,LFLF,1/31/24,16:30,Taconic,CDD01,22,swab,F,25.5,22.38,-12.23529412,83,,,,,,,,,
CDD01.CR.Chow.1.22,stool,,Male,Chow,1/31/24,16:30,CharlesRiver,CDD01,22,T,F,23.6,26.7,13.13559322,91.5,,,,,,,,,
CDD01.CR.Chow.2.22,stool,,Male,Chow,1/31/24,9:30,CharlesRiver,CDD01,22,T,F,21.8,21.1,-3.211009174,90.2,,,,,,,,,
CDD01.Tc.Chow.1.23,stool,,Male,Chow,2/1/24,16:30,Taconic,CDD01,23,T,F,25.4,26.8,5.511811024,89,,,,,,,,,
CDD01.Tc.Chow.2.23,stool,,Male,Chow,2/1/24,9:30,Taconic,CDD01,23,T,F,22.3,22.8,2.242152466,88.5,,,,,,,,,
CDD01.Tc.LFLF.3.23,stool,,Male,LFLF,2/1/24,16:30,Taconic,CDD01,23,T,F,25.5,22.5,-11.76470588,91.4,,,,,,,,,
