diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
HF/LF	3_0516_9848	-15	colon	9848	0	0	0	NA	barrier_1	3
HF/LF	3_0516_9846	-15	colon	9846	0	0	0	34436	barrier_1	3
HF/LF	3_0523_9846	-8	colon	9846	1	0	1	40077	barrier_1	3
HF/LF	3_0516_9847	-15	colon	9847	0	0	0	31722	barrier_1	3
HF/LF	3_0523_9847	-8	colon	9847	1	0	1	48100	barrier_1	3
HF/LF	3_0523_9848	-8	colon	9848	1	0	1	52427	barrier_1	3
HF/LF	3_0516_9849	-15	colon	9849	0	0	0	28320	barrier_1	3
HF/LF	3_0516_9851	-15	colon	9851	0	0	0	30878	barrier_1	3
HF/LF	1_0403_9687	-15	colon	9687	0	0	0	52967	barrier_2	1
HF/LF	1_0410_9687	-8	colon	9687	1	0	1	35445	barrier_2	1
HF/LF	1_0415_9687	-3	colon	9687	1	0	1	23177	barrier_2	1
HF/LF	1_0418_9687	0	colon	9687	1	0	1	50220	barrier_2	1
HF/LF	1_0403_9691	-15	colon	9691	0	0	0	38624	barrier_2	1
HF/LF	1_0410_9691	-8	colon	9691	1	0	1	35871	barrier_2	1
HF/LF	1_0415_9691	-3	colon	9691	1	0	1	15234	barrier_2	1
HF/LF	1_0418_9691	0	colon	9691	1	0	1	52945	barrier_2	1
HF/LF	1_0403_9693	-15	colon	9693	0	0	0	32699	barrier_2	1
HF/LF	1_0410_9693	-8	colon	9693	1	0	1	47385	barrier_2	1
HF/LF	1_0415_9693	-3	colon	9693	1	0	1	20803	barrier_2	1
HF/LF	1_0418_9693	0	colon	9693	1	0	1	31618	barrier_2	1
HF/LF	1_0403_9694	-15	colon	9694	0	0	0	40434	barrier_2	1
HF/LF	1_0410_9694	-8	colon	9694	1	0	1	41077	barrier_2	1
HF/LF	1_0415_9694	-3	colon	9694	1	0	1	17674	barrier_2	1
HF/LF	1_0418_9694	0	colon	9694	1	0	1	49866	barrier_2	1
HF/LF	1_0403_9699	-15	colon	9699	0	0	0	42393	barrier_2	1
HF/LF	1_0410_9699	-8	colon	9699	1	0	1	47707	barrier_2	1
HF/LF	1_0415_9699	-3	colon	9699	1	0	1	23730	barrier_2	1
HF/LF	1_0418_9699	0	colon	9699	1	0	1	55076	barrier_2	1
HF/HF	2_0418_9750	-15	colon	9750	0	0	0	41920	barrier_2	2
HF/HF	2_0425_9750	-8	colon	9750	1	1	1	46442	barrier_2	2
HF/HF	2_0430_9750	-3	colon	9750	1	1	1	40444	barrier_2	2
HF/HF	2_0503_9750	0	colon	9750	1	1	1	37664	barrier_2	2
HF/HF	2_0425_9755	-8	colon	9755	1	1	1	51105	barrier_2	2
HF/HF	2_0430_9755	-3	colon	9755	1	1	1	23197	barrier_2	2
HF/HF	2_0503_9755	0	colon	9755	1	1	1	48412	barrier_2	2
HF/HF	2_0425_9756	-8	colon	9756	1	1	1	55486	barrier_2	2
HF/HF	2_0430_9756	-3	colon	9756	1	1	1	31415	barrier_2	2
HF/HF	2_0503_9756	0	colon	9756	1	1	1	51067	barrier_2	2
HF/HF	2_0425_9757	-8	colon	9757	1	1	1	55071	barrier_2	2
HF/HF	2_0430_9757	-3	colon	9757	1	1	1	34811	barrier_2	2
HF/HF	2_0503_9757	0	colon	9757	1	1	1	44467	barrier_2	2
HF/HF	2_0425_9758	-8	colon	9758	1	1	1	45182	barrier_2	2
HF/HF	2_0430_9758	-3	colon	9758	1	1	1	40388	barrier_2	2
HF/HF	2_0503_9758	0	colon	9758	1	1	1	51120	barrier_2	2
HF/HF	3_0516_9836	-15	colon	9836	0	0	0	29275	barrier_1	3
HF/HF	3_0523_9836	-8	colon	9836	1	1	1	31921	barrier_1	3
HF/HF	3_0516_9837	-15	colon	9837	0	0	0	26365	barrier_1	3
HF/HF	3_0523_9837	-8	colon	9837	1	1	1	30988	barrier_1	3
HF/HF	3_0516_9838	-15	colon	9838	0	0	0	38352	barrier_1	3
HF/HF	3_0523_9838	-8	colon	9838	1	1	1	34339	barrier_1	3
HF/HF	3_0516_9839	-15	colon	9839	0	0	0	50220	barrier_1	3
HF/HF	3_0523_9859	-8	colon	9839	1	1	1	44913	barrier_1	3
HF/HF	3_0523_9839	-8	colon	9839	1	1	1	34062	barrier_1	3
HF/HF	3_0516_9840	-15	colon	9840	0	0	0	30026	barrier_1	3
HF/HF	3_0523_9840	-8	colon	9840	1	1	1	39070	barrier_1	3
LF/HF	71.98.0801	-15	colon	98	0	0	0	32748	barrier_1	7
LF/HF	74.98.0816	0	colon	98	0	1	1	36475	barrier_1	7
LF/HF	71.99.0801	-15	colon	99	0	0	0	33187	barrier_1	7
LF/HF	72.99.0808	-8	colon	99	0	1	1	32740	barrier_1	7
LF/HF	74.99.0816	0	colon	99	0	1	1	29163	barrier_1	7
LF/HF	71.100.0801	-15	colon	100	0	0	0	30063	barrier_1	7
LF/HF	72.100.0808	-8	colon	100	0	1	1	37210	barrier_1	7
LF/HF	73.100.0813	-3	colon	100	0	1	1	35832	barrier_1	7
LF/HF	71.101.0801	-15	colon	101	0	0	0	25965	barrier_1	7
LF/HF	72.101.0808	-8	colon	101	0	1	1	24072	barrier_1	7
LF/HF	73.101.0813	-3	colon	101	0	1	1	28138	barrier_1	7
LF/HF	74.101.0816	0	colon	101	0	1	1	35467	barrier_1	7
HF/HF	71.102.0801	-15	colon	102	0	0	0	24226	barrier_1	7
HF/HF	73.102.0813	-3	colon	102	1	1	1	31370	barrier_1	7
