sample_type,mouse_id,high_fat,high_fiber,purified_diet,facility,study,diet,histopathology,bile_acid,metabolomics,toxin,hypoxia,sequencing
colon,9694,0,0,0,2,1,HF/LF,0,0,0,0,0,1
colon,9694,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9694,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9694,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9699,0,0,0,2,1,HF/LF,0,0,0,0,0,1
colon,9699,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9699,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9699,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9750,0,0,0,2,2,HF/HF,0,0,0,0,0,1
colon,9750,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9750,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9750,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9755,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9755,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9755,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9756,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9756,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9756,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9757,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9757,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9757,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9758,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9758,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9758,1,1,1,2,2,HF/HF,0,0,0,0,0,1
colon,9836,0,0,0,1,3,HF/HF,0,0,0,0,0,1
colon,9836,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9837,0,0,0,1,3,HF/HF,0,0,0,0,0,1
colon,9837,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9838,0,0,0,1,3,HF/HF,0,0,0,0,0,1
colon,9838,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9839,0,0,0,1,3,HF/HF,0,0,0,0,0,1
colon,9839,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9839,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,9840,0,0,0,1,3,HF/HF,0,0,0,0,0,1
colon,9840,1,1,1,1,3,HF/HF,0,0,0,0,0,1
colon,98,0,0,0,1,7,LF/HF,0,0,0,0,0,1
colon,98,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,99,0,0,0,1,7,LF/HF,0,0,0,0,0,1
colon,99,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,99,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,100,0,0,0,1,7,LF/HF,0,0,0,0,0,1
colon,100,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,100,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,101,0,0,0,1,7,LF/HF,0,0,0,0,0,1
colon,101,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,101,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,101,0,1,1,1,7,LF/HF,0,0,0,0,0,1
colon,102,0,0,0,1,7,HF/HF,0,0,0,0,0,1
colon,102,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,102,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,103,0,0,0,1,7,HF/HF,0,0,0,0,0,1
colon,103,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,103,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,104,0,0,0,1,7,HF/HF,0,0,0,0,0,1
colon,104,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,105,0,0,0,1,7,HF/HF,0,0,0,0,0,1
colon,105,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,105,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,105,1,1,1,1,7,HF/HF,0,0,0,0,0,1
colon,106,0,0,0,1,7,LF/LF,0,0,0,0,0,1
colon,106,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,106,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,107,0,0,0,1,7,LF/LF,0,0,0,0,0,1
colon,107,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,107,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,108,0,0,0,1,7,LF/LF,0,0,0,0,0,1
colon,108,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,108,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,109,0,0,0,1,7,LF/LF,0,0,0,0,0,1
colon,109,0,0,1,1,7,LF/LF,0,0,0,0,0,1
colon,110,0,0,0,1,7,HF/LF,0,0,0,0,0,1
colon,110,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,111,0,0,0,1,7,HF/LF,0,0,0,0,0,1
colon,111,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,111,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,111,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,112,0,0,0,1,7,HF/LF,0,0,0,0,0,1
colon,112,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,112,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,113,0,0,0,1,7,HF/LF,0,0,0,0,0,1
colon,113,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,113,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,113,1,0,1,1,7,HF/LF,0,0,0,0,0,1
colon,114,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,114,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,114,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,114,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,115,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,115,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,115,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,115,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,116,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,116,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,116,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,117,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,117,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,117,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,118,0,0,0,1,7,Chow,0,0,0,0,0,1
colon,9961,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9961,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9961,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9961,0,0,0,2,6,Chow,0,0,0,0,0,1
colon,9962,0,0,0,2,6,Chow,0,0,0,0,0,1
