sampleid	diet	day_post_inf	mouse_id	high_fat	high_fiber	purified_diet
53.9940.0625	Chow	-3	9940	0	0	0
53.9941.0625	Chow	-3	9941	0	0	0
53.9942.0625	Chow	-3	9942	0	0	0
53.9943.0625	Chow	-3	9943	0	0	0
53.9944.0625	LF/LF	-3	9944	0	0	1
53.9945.0625	LF/LF	-3	9945	0	0	1
53.9946.0625	LF/LF	-3	9946	0	0	1
53.9947.0625	LF/LF	-3	9947	0	0	1
53.9948.0625	LF/LF	-3	9948	0	0	1
53.9949.0625	HF/LF	-3	9949	1	0	1
53.9950.0625	HF/LF	-3	9950	1	0	1
53.9951.0625	HF/LF	-3	9951	1	0	1
53.9952.0625	HF/LF	-3	9952	1	0	1
53.9953.0625	HF/LF	-3	9953	1	0	1
54.9939.0628	Chow	0	9939	0	0	0
54.9940.0628	Chow	0	9940	0	0	0
54.9941.0628	Chow	0	9941	0	0	0
54.9942.0628	Chow	0	9942	0	0	0
54.9943.0628	Chow	0	9943	0	0	0
54.9944.0628	LF/LF	0	9944	0	0	1
54.9945.0628	LF/LF	0	9945	0	0	1
54.9946.0628	LF/LF	0	9946	0	0	1
54.9947.0628	LF/LF	0	9947	0	0	1
54.9948.0628	LF/LF	0	9948	0	0	1
54.9949.0628	HF/LF	0	9949	1	0	1
54.9950.0628	HF/LF	0	9950	1	0	1
54.9951.0628	HF/LF	0	9951	1	0	1
54.9952.0628	HF/LF	0	9952	1	0	1
54.9953.0628	HF/LF	0	9953	1	0	1
61.9961.0627	Chow	-15	9961	0	0	0
61.9962.0627	Chow	-15	9962	0	0	0
61.9963.0627	Chow	-15	9963	0	0	0
61.9964.0627	Chow	-15	9964	0	0	0
61.9965.0627	Chow	-15	9965	0	0	0
61.9966.0627	LF/LF	-15	9966	0	0	1
61.9967.0627	LF/LF	-15	9967	0	0	1
61.9968.0627	LF/LF	-15	9968	0	0	1
61.9969.0627	LF/LF	-15	9969	0	0	1
61.9970.0627	LF/LF	-15	9970	0	0	1
61.9971.0627	HF/LF	-15	9971	1	0	1
61.9972.0627	HF/LF	-15	9972	1	0	1
61.9973.0627	HF/LF	-15	9973	1	0	1
61.9974.0627	HF/LF	-15	9974	1	0	1
61.9975.0627	HF/LF	-15	9975	1	0	1
62.9961.0704	Chow	-8	9961	0	0	0
62.9962.0704	Chow	-8	9962	0	0	0
62.9963.0704	Chow	-8	9963	0	0	0
62.9964.0704	Chow	-8	9964	0	0	0
62.9965.0704	Chow	-8	9965	0	0	0
62.9966.0704	LF/LF	-8	9966	0	0	1
62.9967.0704	LF/LF	-8	9967	0	0	1
62.9968.0704	LF/LF	-8	9968	0	0	1
62.9969.0704	LF/LF	-8	9969	0	0	1
62.9970.0704	LF/LF	-8	9970	0	0	1
62.9972.0704	HF/LF	-8	9972	1	0	1
62.9973.0704	HF/LF	-8	9973	1	0	1
62.9974.0704	HF/LF	-8	9974	1	0	1
62.9975.0704	HF/LF	-8	9975	1	0	1
63.9961.0709	Chow	-3	9961	0	0	0
63.9962.0709	Chow	-3	9962	0	0	0
63.9963.0709	Chow	-3	9963	0	0	0
63.9964.0709	Chow	-3	9964	0	0	0
63.9965.0709	Chow	-3	9965	0	0	0
63.9966.0709	LF/LF	-3	9966	0	0	1
63.9967.0709	LF/LF	-3	9967	0	0	1
63.9968.0709	LF/LF	-3	9968	0	0	1
63.9969.0709	LF/LF	-3	9969	0	0	1
63.9970.0709	LF/LF	-3	9970	0	0	1
63.9971.0709	HF/LF	-3	9971	1	0	1
63.9972.0709	HF/LF	-3	9972	1	0	1
63.9973.0709	HF/LF	-3	9973	1	0	1
63.9974.0709	HF/LF	-3	9974	1	0	1
63.9975.0709	HF/LF	-3	9975	1	0	1
64.9961.0712	Chow	0	9961	0	0	0
64.9962.0712	Chow	0	9962	0	0	0
64.9963.0712	Chow	0	9963	0	0	0
64.9964.0712	Chow	0	9964	0	0	0
64.9965.0712	Chow	0	9965	0	0	0
64.9966.0712	LF/LF	0	9966	0	0	1
64.9967.0712	LF/LF	0	9967	0	0	1
64.9968.0712	LF/LF	0	9968	0	0	1
64.9969.0712	LF/LF	0	9969	0	0	1
64.9970.0712	LF/LF	0	9970	0	0	1
64.9971.0712	HF/LF	0	9971	1	0	1
64.9972.0712	HF/LF	0	9972	1	0	1
64.9973.0712	HF/LF	0	9973	1	0	1
64.9974.0712	HF/LF	0	9974	1	0	1
64.9975.0712	HF/LF	0	9975	1	0	1
71.100.0801	LF/HF	-15	100	0	1	1
71.101.0801	LF/HF	-15	101	0	1	1
71.102.0801	HF/HF	-15	102	1	1	1
71.103.0801	HF/HF	-15	103	1	1	1
71.104.0801	HF/HF	-15	104	1	1	1
71.105.0801	HF/HF	-15	105	1	1	1
71.106.0801	LF/LF	-15	106	0	0	1
71.107.0801	LF/LF	-15	107	0	0	1
71.108.0801	LF/LF	-15	108	0	0	1
71.109.0801	LF/LF	-15	109	0	0	1
71.110.0801	HF/LF	-15	110	1	0	1
71.111.0801	HF/LF	-15	111	1	0	1
71.112.0801	HF/LF	-15	112	1	0	1
71.113.0801	HF/LF	-15	113	1	0	1
71.114.0801	Chow	-15	114	0	0	0
71.115.0801	Chow	-15	115	0	0	0
71.116.0801	Chow	-15	116	0	0	0
71.117.0801	Chow	-15	117	0	0	0
71.118.0801	Chow	-15	118	0	0	0
71.98.0801	LF/HF	-15	98	0	1	1
71.99.0801	LF/HF	-15	99	0	1	1
72.100.0808	LF/HF	-8	100	0	1	1
72.101.0808	LF/HF	-8	101	0	1	1
72.103.0808	HF/HF	-8	103	1	1	1
72.105.0808	HF/HF	-8	105	1	1	1
72.108.0808	LF/LF	-8	108	0	0	1
72.111.0808	HF/LF	-8	111	1	0	1
72.112.0808	HF/LF	-8	112	1	0	1
72.113.0808	HF/LF	-8	113	1	0	1
72.114.0808	Chow	-8	114	0	0	0
72.115.0808	Chow	-8	115	0	0	0
72.116.0808	Chow	-8	116	0	0	0
72.99.0808	LF/HF	-8	99	0	1	1
73.100.0813	LF/HF	-3	100	0	1	1
73.101.0813	LF/HF	-3	101	0	1	1
73.102.0813	HF/HF	-3	102	1	1	1
73.103.0813	HF/HF	-3	103	1	1	1
73.104.0813	HF/HF	-3	104	1	1	1
73.105.0813	HF/HF	-3	105	1	1	1
73.106.0813	LF/LF	-3	106	0	0	1
73.107.0813	LF/LF	-3	107	0	0	1
73.111.0813	HF/LF	-3	111	1	0	1
73.112.0813	HF/LF	-3	112	1	0	1
73.113.0813	HF/LF	-3	113	1	0	1
73.114.0813	Chow	-3	114	0	0	0
73.115.0813	Chow	-3	115	0	0	0
73.117.0813	Chow	-3	117	0	0	0
73.98.0813	LF/HF	-3	98	0	1	1
74.100.0816	LF/HF	-8	100	0	1	1
74.101.0816	LF/HF	0	101	0	1	1
74.102.0816	HF/HF	0	102	1	1	1
74.103.0816	HF/HF	0	103	1	1	1
74.105.0816	HF/HF	0	105	1	1	1
74.106.0816	LF/LF	0	106	0	0	1
74.107.0816	LF/LF	0	107	0	0	1
74.108.0816	LF/LF	0	108	0	0	1
74.109.0816	LF/LF	0	109	0	0	1
74.110.0816	HF/LF	0	110	1	0	1
74.111.0816	HF/LF	0	111	1	0	1
74.113.0816	HF/LF	0	113	1	0	1
74.114.0816	Chow	0	114	0	0	0
74.115.0816	Chow	0	115	0	0	0
74.116.0816	Chow	0	116	0	0	0
74.117.0816	Chow	0	117	0	0	0
74.98.0816	LF/HF	0	98	0	1	1
74.99.0816	LF/HF	0	99	0	1	1
75.106.0819	LF/LF	3	106	0	0	1
75.108.0819	LF/LF	3	108	0	0	1
75.109.0819	LF/LF	3	109	0	0	1
75.113.0819	HF/LF	3	113	1	0	1
75.114.0819	Chow	3	114	0	0	0
75.115.0819	Chow	3	115	0	0	0
75.116.0819	Chow	3	116	0	0	0
75.117.0819	Chow	3	117	0	0	0
75.99.0819	LF/HF	3	99	0	1	1
