sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9686	K15873	c105dd10cc034de47bb10bd567501178	30	0.04048872591426917	1	30	0.04048872591426917	0.2608695652173913
1_0403_9687	K00929	0098f1001e2269083cb80958987091ca	15	0.01884160789759812	1	15	0.01884160789759812	9.2143252042508e-4
1_0403_9687	K00929	08927079eb9f5135ebf738cd3b072e4c	32	0.04019543018154265	1	32	0.04019543018154265	0.00196572271024018
1_0403_9687	K00929	0c7d1f89bd81138294da46f001b6710a	45	0.05652482369279436	1	45	0.05652482369279436	0.00276429756127526
1_0403_9687	K00929	1ea43c607013c6b4df5964bfd08807be	174.5	0.2191907052087248	1	174.5	0.2191907052087248	0.01071933165427851
1_0403_9687	K00929	2856b4a2f8c5cef6b9b4c4feeec67a7f	353	0.4434058391901424	1	353	0.4434058391901424	0.02168437864733706
1_0403_9687	K00929	2be73fff463e798921f0bf5e2fb3f615	42	0.05275650211327474	1	42	0.05275650211327474	0.00258001105719024
1_0403_9687	K00929	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	219	0.27508747530493255	1	219	0.27508747530493255	0.01345291479820627
1_0403_9687	K00929	43f26f68a504f250e3a0819b6e7bc9d8	60	0.07536643159039248	1	60	0.07536643159039248	0.00368573008170035
1_0403_9687	K00929	539f049bd3eae43fe41be294bfa6b8b5	510	0.64061466851833615	1	510	0.64061466851833615	0.03132870569445298
1_0403_9687	K00929	54e3f8369dd2263b6ca12b9492fe419d	1104.5	1.3873703948598084	1	1104.5	1.3873703948598084	0.06784814792063394
1_0403_9687	K00929	55d263941c18518b38080c592892c949	419	0.5263089139395741	1	419	0.5263089139395741	0.02573868173720744
1_0403_9687	K00929	56806093f1e8cd1ddcacbfd93a7678d4	117	0.14696454160126535	1	117	0.14696454160126535	0.00718717365931568
1_0403_9687	K00929	5842fb35cb0a50b6b15a8b6d267e2ba7	26	0.03265878702250341	1	26	0.03265878702250341	0.00159714970207015
1_0403_9687	K00929	5932d9202e3c58065680e72a65213186	76	0.0954641466811638	1	76	0.0954641466811638	0.00466859143682044
1_0403_9687	K00929	5a2f127b35756159c6067ad886b357be	134	0.16831836388520988	1	134	0.16831836388520988	0.00823146384913078
1_0403_9687	K00929	5e51f0b907125eb79cf09219ca4139e9	3523	4.425265641549212	1	3523	4.425265641549212	0.21641378463050556
1_0403_9687	K00929	63721fe5120f49d8481aa9194b09b54b	357	0.4484302679628353	1	357	0.4484302679628353	0.02193009398611708
1_0403_9687	K00929	63e95e04a0bed8f7b0828bef4267d3f1	29.5	0.03705516219860964	1	29.5	0.03705516219860964	0.00181215062350267
1_0403_9687	K00929	65aca06371031dd4083b76d6038de128	89	0.11179354019241552	2	178	0.22358708038483105	0.01093433257571104
1_0403_9687	K00929	67ef0c6c1fb800803cd8a3bf5985488a	160	0.2009771509077133	1	160	0.2009771509077133	0.00982861355120093
1_0403_9687	K00929	680dc3d6deb8fda5dfa5643527d15f9a	34	0.04270764456788907	1	34	0.04270764456788907	0.00208858037963019
1_0403_9687	K00929	6eb3f747505b027607654373c88891d2	68	0.08541528913577814	2	136	0.1708305782715563	0.00835432151852079
1_0403_9687	K00929	7044780b55e75992e1baa09eb8412297	81	0.10174468264702984	1	81	0.10174468264702984	0.00497573561029547
1_0403_9687	K00929	71d55344bce95fd02e13ad8a14da3c54	157	0.19720882932819364	1	157	0.19720882932819364	0.00964432704711591
1_0403_9687	K00929	73e581aa79e8a1d0f5dc5c2e03dcea57	28	0.03517100140884982	1	28	0.03517100140884982	0.00172000737146016
