mouse_id	tissue	score	diet	sampleid	microbe_product	concentration	conc_normalized
113	colon	2.7	HF/LF	WD+1.081222	Propanoic Acid (ug/g)	151.2	153.2
113	colon	2.7	HF/LF	WD+1.081222	n-Butanoic Acid (ug/g)	1.7	3.7
114	colon	0	Chow	Chow4.081222	Acetic Acid (ug/g)	888.9	890.9
114	colon	0	Chow	Chow4.081222	Propanoic Acid (ug/g)	132.9	134.9
114	colon	0	Chow	Chow4.081222	n-Butanoic Acid (ug/g)	333.7	335.7
116	colon	0	Chow	Chow2.081222	Acetic Acid (ug/g)	1043.4	1045.4
116	colon	0	Chow	Chow2.081222	Propanoic Acid (ug/g)	113.9	115.9
116	colon	0	Chow	Chow2.081222	n-Butanoic Acid (ug/g)	593.4	595.4
117	colon	0	Chow	Chow1.081222	Acetic Acid (ug/g)	962.1	964.1
117	colon	0	Chow	Chow1.081222	Propanoic Acid (ug/g)	57.1	59.1
117	colon	0	Chow	Chow1.081222	n-Butanoic Acid (ug/g)	723	725
9740	colon	0.4	Chow	Chow1.050622	Acetic Acid (ug/g)	1611.8	1613.8
9740	colon	0.4	Chow	Chow1.050622	Propanoic Acid (ug/g)	398	400
9740	colon	0.4	Chow	Chow1.050622	n-Butanoic Acid (ug/g)	394.9	396.9
9741	colon	0	Chow	Chow2.050622	Acetic Acid (ug/g)	938.6	940.6
9741	colon	0	Chow	Chow2.050622	Propanoic Acid (ug/g)	249.9	251.9
9741	colon	0	Chow	Chow2.050622	n-Butanoic Acid (ug/g)	389.9	391.9
9742	colon	1.7	Chow	Chow4.050622	Acetic Acid (ug/g)	810	812
9742	colon	1.7	Chow	Chow4.050622	Propanoic Acid (ug/g)	153.8	155.8
9742	colon	1.7	Chow	Chow4.050622	n-Butanoic Acid (ug/g)	250	252
9743	colon	0	Chow	Chow3.050622	Acetic Acid (ug/g)	2271.2	2273.2
9743	colon	0	Chow	Chow3.050622	Propanoic Acid (ug/g)	467.2	469.2
9743	colon	0	Chow	Chow3.050622	n-Butanoic Acid (ug/g)	1082.2	1084.2
9747	colon	0	LF/LF	CtrlF1.050622	Acetic Acid (ug/g)	1353.5	1355.5
9747	colon	0	LF/LF	CtrlF1.050622	Propanoic Acid (ug/g)	119.6	121.6
9747	colon	0	LF/LF	CtrlF1.050622	n-Butanoic Acid (ug/g)	77.6	79.6
9831	colon	10.5	LF/HF	CtrlF4.060322	Acetic Acid (ug/g)	612.3	614.3
9831	colon	10.5	LF/HF	CtrlF4.060322	Propanoic Acid (ug/g)	142.4	144.4
9831	colon	10.5	LF/HF	CtrlF4.060322	n-Butanoic Acid (ug/g)	37.1	39.1
