sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
71.110.0801	HF/LF	-15	110	7	Chow	0	1	0	28581
74.110.0816	HF/LF	0	110	7	HF/LF	1	0	1	4954
71.111.0801	HF/LF	-15	111	7	Chow	0	1	0	27952
72.111.0808	HF/LF	-8	111	7	HF/LF	1	0	1	43626
73.111.0813	HF/LF	-3	111	7	HF/LF	1	0	1	2039
74.111.0816	HF/LF	0	111	7	HF/LF	1	0	1	14458
71.112.0801	HF/LF	-15	112	7	Chow	0	1	0	26701
72.112.0808	HF/LF	-8	112	7	HF/LF	1	0	1	36552
73.112.0813	HF/LF	-3	112	7	HF/LF	1	0	1	5608
71.113.0801	HF/LF	-15	113	7	Chow	0	1	0	4
72.113.0808	HF/LF	-8	113	7	HF/LF	1	0	1	39612
73.113.0813	HF/LF	-3	113	7	HF/LF	1	0	1	11695
74.113.0816	HF/LF	0	113	7	HF/LF	1	0	1	32629
75.113.0819	HF/LF	3	113	7	HF/LF	1	0	1	39746
71.114.0801	Chow	-15	114	7	Chow	0	1	0	27826
72.114.0808	Chow	-8	114	7	Chow	0	1	0	33658
73.114.0813	Chow	-3	114	7	Chow	0	1	0	28624
74.114.0816	Chow	0	114	7	Chow	0	1	0	29237
75.114.0819	Chow	3	114	7	Chow	0	1	0	27079
71.115.0801	Chow	-15	115	7	Chow	0	1	0	27182
72.115.0808	Chow	-8	115	7	Chow	0	1	0	39710
73.115.0813	Chow	-3	115	7	Chow	0	1	0	16968
74.115.0816	Chow	0	115	7	Chow	0	1	0	30190
75.115.0819	Chow	3	115	7	Chow	0	1	0	31803
71.116.0801	Chow	-15	116	7	Chow	0	1	0	28354
72.116.0808	Chow	-8	116	7	Chow	0	1	0	31089
74.116.0816	Chow	0	116	7	Chow	0	1	0	45218
75.116.0819	Chow	3	116	7	Chow	0	1	0	32494
71.117.0801	Chow	-15	117	7	Chow	0	1	0	23118
73.117.0813	Chow	-3	117	7	Chow	0	1	0	32144
74.117.0816	Chow	0	117	7	Chow	0	1	0	39855
75.117.0819	Chow	3	117	7	Chow	0	1	0	22518
71.118.0801	Chow	-15	118	7	Chow	0	1	0	27701
61.9961.0627	Chow	-15	9961	6	Chow	0	1	0	18700
62.9961.0704	Chow	-8	9961	6	Chow	0	1	0	24794
63.9961.0709	Chow	-3	9961	6	Chow	0	1	0	40637
64.9961.0712	Chow	0	9961	6	Chow	0	1	0	30186
61.9962.0627	Chow	-15	9962	6	Chow	0	1	0	35472
62.9962.0704	Chow	-8	9962	6	Chow	0	1	0	32763
63.9962.0709	Chow	-3	9962	6	Chow	0	1	0	48936
64.9962.0712	Chow	0	9962	6	Chow	0	1	0	40444
61.9963.0627	Chow	-15	9963	6	Chow	0	1	0	30837
62.9963.0704	Chow	-8	9963	6	Chow	0	1	0	33693
63.9963.0709	Chow	-3	9963	6	Chow	0	1	0	35517
64.9963.0712	Chow	0	9963	6	Chow	0	1	0	38994
61.9964.0627	Chow	-15	9964	6	Chow	0	1	0	19244
62.9964.0704	Chow	-8	9964	6	Chow	0	1	0	34739
63.9964.0709	Chow	-3	9964	6	Chow	0	1	0	42957
64.9964.0712	Chow	0	9964	6	Chow	0	1	0	39179
61.9965.0627	Chow	-15	9965	6	Chow	0	1	0	35385
62.9965.0704	Chow	-8	9965	6	Chow	0	1	0	33600
63.9965.0709	Chow	-3	9965	6	Chow	0	1	0	39090
64.9965.0712	Chow	0	9965	6	Chow	0	1	0	33855
61.9966.0627	LF/LF	-15	9966	6	Chow	0	1	0	44681
62.9966.0704	LF/LF	-8	9966	6	LF/LF	0	0	1	26523
63.9966.0709	LF/LF	-3	9966	6	LF/LF	0	0	1	1980
64.9966.0712	LF/LF	0	9966	6	LF/LF	0	0	1	2143
61.9967.0627	LF/LF	-15	9967	6	Chow	0	1	0	29690
62.9967.0704	LF/LF	-8	9967	6	LF/LF	0	0	1	34323
63.9967.0709	LF/LF	-3	9967	6	LF/LF	0	0	1	24585
64.9967.0712	LF/LF	0	9967	6	LF/LF	0	0	1	27508
61.9968.0627	LF/LF	-15	9968	6	Chow	0	1	0	41839
62.9968.0704	LF/LF	-8	9968	6	LF/LF	0	0	1	45033
63.9968.0709	LF/LF	-3	9968	6	LF/LF	0	0	1	23530
64.9968.0712	LF/LF	0	9968	6	LF/LF	0	0	1	38204
61.9969.0627	LF/LF	-15	9969	6	Chow	0	1	0	34281
62.9969.0704	LF/LF	-8	9969	6	LF/LF	0	0	1	43865
63.9969.0709	LF/LF	-3	9969	6	LF/LF	0	0	1	7569
64.9969.0712	LF/LF	0	9969	6	LF/LF	0	0	1	26039
61.9970.0627	LF/LF	-15	9970	6	Chow	0	1	0	35746
62.9970.0704	LF/LF	-8	9970	6	LF/LF	0	0	1	45004
63.9970.0709	LF/LF	-3	9970	6	LF/LF	0	0	1	298
64.9970.0712	LF/LF	0	9970	6	LF/LF	0	0	1	2465
61.9971.0627	HF/LF	-15	9971	6	Chow	0	1	0	28707
63.9971.0709	HF/LF	-3	9971	6	HF/LF	1	0	1	2595
64.9971.0712	HF/LF	0	9971	6	HF/LF	1	0	1	18289
61.9972.0627	HF/LF	-15	9972	6	Chow	0	1	0	43798
62.9972.0704	HF/LF	-8	9972	6	HF/LF	1	0	1	40135
63.9972.0709	HF/LF	-3	9972	6	HF/LF	1	0	1	228
64.9972.0712	HF/LF	0	9972	6	HF/LF	1	0	1	2115
61.9973.0627	HF/LF	-15	9973	6	Chow	0	1	0	35764
62.9973.0704	HF/LF	-8	9973	6	HF/LF	1	0	1	34776
63.9973.0709	HF/LF	-3	9973	6	HF/LF	1	0	1	582
64.9973.0712	HF/LF	0	9973	6	HF/LF	1	0	1	317
61.9974.0627	HF/LF	-15	9974	6	Chow	0	1	0	32533
62.9974.0704	HF/LF	-8	9974	6	HF/LF	1	0	1	47706
63.9974.0709	HF/LF	-3	9974	6	HF/LF	1	0	1	411
64.9974.0712	HF/LF	0	9974	6	HF/LF	1	0	1	955
61.9975.0627	HF/LF	-15	9975	6	Chow	0	1	0	41796
62.9975.0704	HF/LF	-8	9975	6	HF/LF	1	0	1	40482
63.9975.0709	HF/LF	-3	9975	6	HF/LF	1	0	1	956
64.9975.0712	HF/LF	0	9975	6	HF/LF	1	0	1	1967
73.98.0813	LF/HF	-3	98	7	LF/HF	0	1	1	48644
74.100.0816	LF/HF	-8	100	7	LF/HF	0	1	1	40670
73.103.0813	HF/HF	-3	103	7	HF/HF	1	1	1	68005
33.9831.0528	LF/HF	-3	9831	3	LF/HF	0	1	1	40120
34.9831.0531	LF/HF	0	9831	3	LF/HF	0	1	1	41805
33.9832.0528	LF/HF	-3	9832	3	LF/HF	0	1	1	39683
34.9832.0531	LF/HF	0	9832	3	LF/HF	0	1	1	30000
33.9833.0528	LF/HF	-3	9833	3	LF/HF	0	1	1	24435
33.9834.0528	LF/HF	-3	9834	3	LF/HF	0	1	1	44962
34.9834.0531	LF/HF	0	9834	3	LF/HF	0	1	1	27894
33.9835.0528	LF/HF	-3	9835	3	LF/HF	0	1	1	43323
34.9835.0531	LF/HF	0	9835	3	LF/HF	0	1	1	47260
33.9836.0528	HF/HF	-3	9836	3	HF/HF	1	1	1	28451
