"mouse_id","day","weight","study","diet"
345,15,17.5,"Study15","HF/LF"
345,16,18.1,"Study15","HF/LF"
345,17,18.1,"Study15","HF/LF"
345,18,18.4,"Study15","HF/LF"
345,19,17,"Study15","HF/LF"
345,20,15.4,"Study15","HF/LF"
345,21,14.3,"Study15","HF/LF"
345,22,13.7,"Study15","HF/LF"
345,23,NA,"Study15","HF/LF"
345,24,NA,"Study15","HF/LF"
345,25,NA,"Study15","HF/LF"
345,26,NA,"Study15","HF/LF"
345,27,NA,"Study15","HF/LF"
345,28,NA,"Study15","HF/LF"
345,29,NA,"Study15","HF/LF"
346,0,19.2,"Study15","HF/LF"
346,8,21.3,"Study15","HF/LF"
346,13,21.4,"Study15","HF/LF"
346,14,21.4,"Study15","HF/LF"
346,15,21.6,"Study15","HF/LF"
346,16,21.5,"Study15","HF/LF"
346,17,21.6,"Study15","HF/LF"
346,18,20.5,"Study15","HF/LF"
346,19,20.3,"Study15","HF/LF"
346,20,18.1,"Study15","HF/LF"
346,21,16.8,"Study15","HF/LF"
346,22,18.3,"Study15","HF/LF"
346,23,18.8,"Study15","HF/LF"
346,24,19.7,"Study15","HF/LF"
346,25,20.4,"Study15","HF/LF"
346,26,20.6,"Study15","HF/LF"
346,27,20.5,"Study15","HF/LF"
346,28,20.8,"Study15","HF/LF"
346,29,21,"Study15","HF/LF"
347,0,17.3,"Study15","HF/LF"
347,8,18.4,"Study15","HF/LF"
347,13,18.9,"Study15","HF/LF"
347,14,19.5,"Study15","HF/LF"
347,15,19.2,"Study15","HF/LF"
347,16,19.6,"Study15","HF/LF"
347,17,19.5,"Study15","HF/LF"
347,18,19.2,"Study15","HF/LF"
347,19,18,"Study15","HF/LF"
347,20,16.4,"Study15","HF/LF"
347,21,15.5,"Study15","HF/LF"
347,22,NA,"Study15","HF/LF"
347,23,NA,"Study15","HF/LF"
347,24,NA,"Study15","HF/LF"
347,25,NA,"Study15","HF/LF"
347,26,NA,"Study15","HF/LF"
347,27,NA,"Study15","HF/LF"
347,28,NA,"Study15","HF/LF"
347,29,NA,"Study15","HF/LF"
348,0,18.3,"Study15","HF/LF"
348,8,18.7,"Study15","HF/LF"
348,13,19.6,"Study15","HF/LF"
348,14,19.4,"Study15","HF/LF"
348,15,20.1,"Study15","HF/LF"
348,16,20.8,"Study15","HF/LF"
348,17,20.8,"Study15","HF/LF"
348,18,21.4,"Study15","HF/LF"
348,19,20.5,"Study15","HF/LF"
348,20,18.8,"Study15","HF/LF"
348,21,18.6,"Study15","HF/LF"
348,22,19.6,"Study15","HF/LF"
348,23,19.5,"Study15","HF/LF"
348,24,20.1,"Study15","HF/LF"
348,25,20.8,"Study15","HF/LF"
348,26,20.7,"Study15","HF/LF"
348,27,20.8,"Study15","HF/LF"
348,28,20.9,"Study15","HF/LF"
348,29,20.8,"Study15","HF/LF"
349,0,18.5,"Study15","HF/LF"
349,8,20.5,"Study15","HF/LF"
349,13,21.7,"Study15","HF/LF"
349,14,22.2,"Study15","HF/LF"
349,15,22.5,"Study15","HF/LF"
349,16,21,"Study15","HF/LF"
349,17,20,"Study15","HF/LF"
349,18,19.9,"Study15","HF/LF"
349,19,19.3,"Study15","HF/LF"
349,20,17.3,"Study15","HF/LF"
349,21,NA,"Study15","HF/LF"
349,22,NA,"Study15","HF/LF"
349,23,NA,"Study15","HF/LF"
349,24,NA,"Study15","HF/LF"
349,25,NA,"Study15","HF/LF"
349,26,NA,"Study15","HF/LF"
349,27,NA,"Study15","HF/LF"
349,28,NA,"Study15","HF/LF"
349,29,NA,"Study15","HF/LF"
350,0,18.5,"Study15","HF/LF"
350,8,19.4,"Study15","HF/LF"
350,13,20.3,"Study15","HF/LF"
350,14,20.3,"Study15","HF/LF"
350,15,20.2,"Study15","HF/LF"
350,16,20.6,"Study15","HF/LF"
350,17,20.2,"Study15","HF/LF"
350,18,20,"Study15","HF/LF"
350,19,17.6,"Study15","HF/LF"
350,20,NA,"Study15","HF/LF"
350,21,NA,"Study15","HF/LF"
350,22,NA,"Study15","HF/LF"
350,23,NA,"Study15","HF/LF"
350,24,NA,"Study15","HF/LF"
350,25,NA,"Study15","HF/LF"
350,26,NA,"Study15","HF/LF"
350,27,NA,"Study15","HF/LF"
350,28,NA,"Study15","HF/LF"
350,29,NA,"Study15","HF/LF"
351,0,16.3,"Study 16","chow"
351,8,17.6,"Study 16","chow"
351,13,18.7,"Study 16","chow"
351,14,18.8,"Study 16","chow"
351,15,19.1,"Study 16","chow"
351,16,19.1,"Study 16","chow"
351,17,15.7,"Study 16","chow"
351,18,15.3,"Study 16","chow"
351,19,17.4,"Study 16","chow"
351,20,18.1,"Study 16","chow"
351,21,18.6,"Study 16","chow"
351,22,18.4,"Study 16","chow"
351,23,18.4,"Study 16","chow"
351,24,17.9,"Study 16","chow"
351,25,18.8,"Study 16","chow"
351,26,19,"Study 16","chow"
351,27,19.6,"Study 16","chow"
351,28,18.7,"Study 16","chow"
351,29,18.8,"Study 16","chow"
352,0,16.6,"Study 16","chow"
352,8,16.7,"Study 16","chow"
352,13,17.5,"Study 16","chow"
352,14,18,"Study 16","chow"
352,15,18.9,"Study 16","chow"
352,16,17.3,"Study 16","chow"
352,17,16.8,"Study 16","chow"
352,18,17.6,"Study 16","chow"
352,19,18.4,"Study 16","chow"
352,20,18.1,"Study 16","chow"
352,21,18,"Study 16","chow"
352,22,18.1,"Study 16","chow"
352,23,17.7,"Study 16","chow"
352,24,17.7,"Study 16","chow"
352,25,18.8,"Study 16","chow"
352,26,18.4,"Study 16","chow"
352,27,18.6,"Study 16","chow"
352,28,18,"Study 16","chow"
352,29,18.3,"Study 16","chow"
353,0,17.1,"Study 16","chow"
353,8,17.8,"Study 16","chow"
353,13,19,"Study 16","chow"
353,14,18.5,"Study 16","chow"
353,15,18.7,"Study 16","chow"
353,16,18.3,"Study 16","chow"
353,17,15.6,"Study 16","chow"
353,18,14.5,"Study 16","chow"
353,19,13.8,"Study 16","chow"
353,20,16.1,"Study 16","chow"
353,21,17.1,"Study 16","chow"
353,22,18.7,"Study 16","chow"
353,23,18.4,"Study 16","chow"
353,24,18.2,"Study 16","chow"
353,25,18.9,"Study 16","chow"
353,26,18.8,"Study 16","chow"
353,27,19.3,"Study 16","chow"
353,28,18.7,"Study 16","chow"
353,29,18.8,"Study 16","chow"
354,0,17.4,"Study 16","chow"
354,8,18.9,"Study 16","chow"
354,13,20.2,"Study 16","chow"
354,14,19.9,"Study 16","chow"
354,15,20.3,"Study 16","chow"
354,16,18.8,"Study 16","chow"
354,17,16.5,"Study 16","chow"
354,18,15.6,"Study 16","chow"
354,19,NA,"Study 16","chow"
354,20,NA,"Study 16","chow"
354,21,NA,"Study 16","chow"
