"mouse_id","day","weight","study","diet"
212,27,19,"Study 9","HF/HF"
212,28,19,"Study 9","HF/HF"
213,0,19.1,"Study 9","LF/LF"
213,8,18.7,"Study 9","LF/LF"
213,14,19.7,"Study 9","LF/LF"
213,15,20.5,"Study 9","LF/LF"
213,16,20.5,"Study 9","LF/LF"
213,17,20.6,"Study 9","LF/LF"
213,18,20.6,"Study 9","LF/LF"
213,19,20.7,"Study 9","LF/LF"
213,20,NA,"Study 9","LF/LF"
213,21,NA,"Study 9","LF/LF"
213,22,NA,"Study 9","LF/LF"
213,24,NA,"Study 9","LF/LF"
213,25,NA,"Study 9","LF/LF"
213,26,NA,"Study 9","LF/LF"
213,27,NA,"Study 9","LF/LF"
213,28,NA,"Study 9","LF/LF"
214,0,16.5,"Study 9","LF/LF"
214,8,16.4,"Study 9","LF/LF"
214,14,17.1,"Study 9","LF/LF"
214,15,18.2,"Study 9","LF/LF"
214,16,18,"Study 9","LF/LF"
214,17,18.1,"Study 9","LF/LF"
214,18,18.1,"Study 9","LF/LF"
214,19,18,"Study 9","LF/LF"
214,20,15.3,"Study 9","LF/LF"
214,21,14.7,"Study 9","LF/LF"
214,22,13.5,"Study 9","LF/LF"
214,24,15.3,"Study 9","LF/LF"
214,25,16.6,"Study 9","LF/LF"
214,26,17.4,"Study 9","LF/LF"
214,27,16.8,"Study 9","LF/LF"
214,28,16.6,"Study 9","LF/LF"
215,0,17.4,"Study 9","LF/LF"
215,8,17.8,"Study 9","LF/LF"
215,14,18.5,"Study 9","LF/LF"
215,15,19.1,"Study 9","LF/LF"
215,16,19.4,"Study 9","LF/LF"
215,17,20,"Study 9","LF/LF"
215,18,20.1,"Study 9","LF/LF"
215,19,19,"Study 9","LF/LF"
215,20,16.9,"Study 9","LF/LF"
215,21,NA,"Study 9","LF/LF"
215,22,NA,"Study 9","LF/LF"
215,24,NA,"Study 9","LF/LF"
215,25,NA,"Study 9","LF/LF"
215,26,NA,"Study 9","LF/LF"
215,27,NA,"Study 9","LF/LF"
215,28,NA,"Study 9","LF/LF"
216,0,17.4,"Study 9","LF/LF"
216,8,17.8,"Study 9","LF/LF"
216,14,18.9,"Study 9","LF/LF"
216,15,19.4,"Study 9","LF/LF"
216,16,19.8,"Study 9","LF/LF"
216,17,20.1,"Study 9","LF/LF"
216,18,20.2,"Study 9","LF/LF"
216,19,18.1,"Study 9","LF/LF"
216,20,NA,"Study 9","LF/LF"
216,21,NA,"Study 9","LF/LF"
